ump,zona_u_r,region_3,elec_pres_urna_30,elec_pres_urna_31,elec_pres_urna_32,elec_pres_urna_33,bienestar_2,bienestar_3,percepcion_2,percepcion_3,percepcion_5,percepcion_6,percepcion_38,percepcion_4,eval_gob_1,iden_pol_2,eval_act_pol_1_fh,eval_act_pol_1_ae,eval_act_pol_1_el,eval_act_pol_1_dv,eval_act_pol_1_em,eval_act_pol_1_hb,eval_act_pol_1_ft,eval_act_pol_1_gq,eval_act_pol_1_gw,eval_act_pol_1_hd,eval_act_pol_1_x,eval_act_pol_1_gt,eval_act_pol_1_fa,eval_act_pol_1_hc,eval_act_pol_1_gx,confianza_6_a,confianza_6_b,confianza_6_c,confianza_6_j,confianza_6_d,confianza_6_e,confianza_6_f,confianza_6_n,confianza_6_x,confianza_6_g,confianza_6_h,confianza_6_i,confianza_6_k,confianza_6_s,confianza_6_o,confianza_6_p,confianza_6_r,confianza_6_m,confianza_6_ab,confianza_6_ac,democracia_38,pobreza_63,pobreza_62,religion_14,religion_64,democracia_21,democracia_37_a,democracia_37_b,democracia_37_c,democracia_37_d,pp_congreso_61_b,polarizacion_1_a,polarizacion_1_b,polarizacion_6_a,polarizacion_6_b,polarizacion_6_c,polarizacion_6_d,polarizacion_6_e,confianza_17,interes_pol_1_b,interes_pol_2_a,interes_pol_2_b,interes_pol_2_c,interes_pol_2_d,interes_pol_2_e,interes_pol_2_f,iden_pol_3,iden_pol_3_a,elec_part_37,elec_pres_144_a,elec_pres_144_b2,elec_pres_125,elec_part_4,elec_pres_1_responde,elec_pres_2_responde,elec_pres_148,elec_pres_149_a,elec_pres_149_b,elec_pres_149_c,elec_pres_149_d,elec_pres_149_e,elec_pres_149_f,elec_pres_149_g,elec_pres_149_h,elec_pres_150_a,elec_pres_150_b,elec_pres_150_c,elec_pres_151_a,elec_pres_151_b,elec_pres_151_c,elec_pres_151_d,elec_pres_151_e,elec_pres_151_f,elec_pres_151_g,elec_pres_151_h,elec_pres_152_a,elec_pres_152_b,elec_pres_152_c,elec_pres_152_d,elec_pres_152_e,elec_pres_152_f,elec_pres_153_a,elec_pres_153_b,elec_pres_153_c,elec_pres_153_d,elec_pres_153_e,elec_pres_153_f,elec_pres_153_g,elec_pres_153_h,elec_pres_145_a,elec_pres_145_b,democracia_12,anomia_4_a,bienestar_19_c,bienestar_19_d,bienestar_19_e,rol_gobierno_16,ciudadania_16,ciudadania_34,sexo,edad,nac_dia,nac_mes,nac_ano,info_enc_59_2_otro,info_enc_58,info_enc_30_b,info_enc_30_b_otro,mtf_60_aux,mtf_60,info_enc_50_a_aux,info_enc_50_a,estado_civil_g,educacion_104_a,info_enc_61,info_enc_57,info_hogar_28_c,info_enc_12_c,info_enc_12_c_otro,info_enc_35,info_enc_20_c,info_hogar_3_c,gse,pond,encuesta,encuesta_a,encuesta_m,id_bu_encuesta,id_bu,percepcion_1_a,percepcion_1_b,percepcion_1_c,democracia_20,elec_pres_147,elec_parla_36_a,elec_parla_36_b,elec_parla_36_c,elec_parla_36_d,elec_parla_36_e,elec_parla_36_f,esc_nivel_1_c,info_enc_59_2,estrato,secu
268,1,16,3,1,2,1,6,5,4,2,4,3,2,1,1,5,5,2,4,1,2,4,2,2,6,1,3,4,2,6,6,4,4,2,3,4,3,4,3,4,2,2,2,3,3,2,3,2,1,2,3,1,7,7,3,2,1,1,1,4,4,1,0,7,8,3,1,5,4,1,2,2,2,2,3,3,3,25,,1,1,,1,1,1,1,3,2,2,1,1,3,3,2,3,1,2,1,2,3,0,10,10,9,5,7,3,3,3,8,3,3,3,3,3,3,3,3,3,3,1,4,3,2,4,4,4,2,4,2,1,56,24,2,1969,,2,,,1,3,1,2,1,5,2,1,,1,,1,7,9,3,1.69525104131282,95,2025,9,224,224-95,16,10,5,3,1,1,1,2,2,2,1,4,1,25,95268
245,1,13,3,1,2,1,2,4,2,2,3,3,3,2,2,5,3,4,3,3,3,3,3,3,6,3,2,3,6,6,6,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,3,2,3,2,2,2,3,2,5,5,5,8,10,4,2,2,5,2,2,3,3,3,3,17,,1,2,,3,1,1,8,3,3,3,1,3,3,1,3,3,1,2,1,7,7,8,7,7,7,6,6,3,3,4,6,3,6,3,3,6,6,3,6,3,3,6,7,3,4,4,4,4,4,4,1,1,80,27,9,1945,,2,,,1,5,1,2,1,7,2,1,,7,,3,3,7,3,0.948417293722377,95,2025,9,225,225-95,3,14,9,1,6,2,2,2,2,2,2,4,1,20,95245
184,1,13,6,2,1,1,5,6,2,2,2,3,3,2,2,6,2,4,3,4,6,4,4,3,6,4,3,4,4,4,6,2,2,2,3,3,3,2,1,3,2,2,3,3,2,2,2,1,2,3,3,6,5,5,2,1,1,1,1,3,2,1,6,5,5,6,5,6,4,2,3,3,3,3,2,2,2,15,15,1,2,,2,2,1,1,5,3,3,3,3,1,2,3,2,2,1,2,1,5,4,10,10,10,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,4,4,4,1,1,1,1,54,16,3,1969,,2,,,1,1,1,1,5,4,2,1,,3,,2,2,4,4,1.74591996943955,95,2025,9,226,226-95,16,5,6,3,4,1,1,1,1,1,2,3,1,20,95184
165,1,13,3,1,5,1,7,5,4,2,2,3,3,3,1,4,4,2,4,1,3,3,3,6,3,1,3,5,3,6,3,3,2,2,4,4,2,2,3,3,4,2,2,3,3,3,4,2,2,3,3,8,4,2,3,1,2,1,1,1,1,2,4,8,9,2,2,6,5,3,3,2,2,2,2,3,-9,15,15,1,1,,3,1,1,1,3,3,3,1,3,3,1,3,3,1,2,1,5,5,3,-8,9,8,5,8,3,3,3,9,3,9,9,8,3,3,9,8,3,3,6,7,3,3,4,4,4,3,3,1,2,54,29,6,1971,,2,,,1,2,1,1,1,6,2,1,,1,,1,7,8,2,0.790479506352445,95,2025,9,227,227-95,26,16,4,3,1,1,1,1,2,2,-9,8,1,20,95165
37,1,5,3,1,3,1,8,6,4,2,4,3,2,1,1,1,4,2,4,1,4,4,3,6,6,1,1,5,2,6,6,4,4,4,3,3,3,4,2,4,3,2,2,3,3,3,2,2,1,3,4,1,5,4,3,1,1,2,2,4,3,2,1,5,5,1,0,5,1,2,2,2,1,1,1,1,2,25,,1,1,,1,1,1,1,3,2,2,1,3,3,3,3,3,1,3,1,2,3,3,10,10,9,6,9,3,3,3,3,3,3,3,3,9,2,3,2,3,9,13,1,2,2,4,4,4,2,3,1,1,49,29,2,1976,,2,,,1,0,,,1,8,2,1,,1,,1,10,11,1,1.50385990057227,95,2025,9,228,228-95,16,1,7,3,1,1,1,1,2,2,1,9,14,6,95037
165,1,13,3,1,5,5,6,5,3,1,3,3,3,1,1,4,4,3,4,2,2,4,3,4,6,2,3,4,3,3,6,3,3,2,3,3,3,3,3,2,1,3,2,3,3,3,2,2,2,2,2,5,5,6,2,2,1,1,1,1,1,2,3,8,9,4,4,5,5,2,2,2,2,2,2,2,3,15,15,1,1,,2,1,1,1,3,3,3,1,3,3,2,3,3,1,2,1,0,6,4,10,8,8,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,2,2,4,4,4,5,4,2,2,34,25,1,1991,,2,,,1,1,1,1,8,5,2,1,,1,,1,-9,-9,2,1.94843428517529,95,2025,9,229,229-95,5,16,6,2,1,1,1,1,2,2,1,8,1,20,95165
164,1,13,8,5,5,5,7,7,4,2,4,1,2,1,1,7,4,4,2,5,6,6,6,6,6,3,3,2,4,6,6,2,2,2,4,4,2,2,2,2,3,2,4,4,2,2,4,2,2,4,2,10,8,10,2,2,2,1,1,1,1,2,8,3,3,8,7,5,7,4,3,3,3,3,3,3,3,15,15,1,2,,3,1,1,1,5,2,2,3,2,1,3,2,2,2,1,2,2,6,3,6,9,8,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,2,2,3,4,4,4,3,2,3,2,58,5,12,1966,,2,,,1,4,1,1,5,4,2,1,,1,,1,4,4,3,0.284640482254298,95,2025,9,230,230-95,10,7,3,3,5,2,2,1,1,1,1,2,1,20,95164
140,1,13,5,2,1,2,7,6,3,1,3,2,2,2,2,6,1,6,6,4,6,6,6,6,6,6,6,2,6,6,6,2,3,1,3,2,2,2,1,2,4,2,4,3,1,2,2,1,2,2,3,7,7,8,2,2,1,1,2,4,1,1,5,5,-8,-8,-8,-8,-8,2,4,3,3,3,3,3,3,15,15,2,,2,4,4,1,1,5,3,3,3,3,1,3,3,3,2,1,2,-8,-8,-8,-8,10,-8,-8,-8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,2,1,2,4,4,4,2,3,4,1,33,1,1,1992,,2,,,1,4,1,1,2,3,2,1,,1,,1,4,4,3,1.0911920575163,95,2025,9,231,231-95,14,3,17,2,,2,2,2,2,1,2,4,2,20,95140
165,1,13,3,1,2,1,7,7,4,2,4,3,2,3,1,4,4,3,4,2,3,4,3,5,5,1,3,5,3,6,6,3,3,2,2,3,2,3,3,3,1,2,4,3,2,2,2,2,2,2,3,2,5,6,1,1,1,1,1,4,4,1,5,10,10,4,0,4,4,1,3,2,2,3,2,2,2,15,15,1,1,,4,1,1,1,3,3,3,1,3,3,2,3,2,1,2,1,3,5,2,7,10,8,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,9,3,2,4,4,4,2,3,3,2,64,1,1,1961,,2,,,1,2,1,0,5,6,2,1,,1,,1,7,-8,2,1.19659798656672,95,2025,9,232,232-95,8,16,1,3,1,1,1,2,2,2,1,6,1,20,95165
140,1,13,1,2,2,1,5,7,3,1,3,2,4,2,2,5,2,4,4,2,6,6,4,6,6,2,2,4,6,6,6,2,1,1,3,1,3,3,1,3,3,1,3,1,2,1,3,1,1,3,3,4,5,5,2,2,1,1,2,4,4,1,10,10,-8,-8,-8,-8,-8,1,1,3,2,2,2,2,3,15,15,2,,4,3,4,9,1,3,-8,-8,2,3,3,2,3,-9,1,2,1,-8,-8,7,4,4,5,-8,5,-8,-8,-8,-8,3,-8,3,3,3,-9,6,-8,-8,3,9,1,3,2,2,4,4,2,2,1,1,50,1,1,1975,,2,,,9,,,,8,2,2,1,,1,,1,2,2,3,0.519632932080856,95,2025,9,233,233-95,6,3,10,2,,2,2,2,2,2,2,2,3,20,95140
1,1,1,3,1,4,1,1,3,1,2,3,4,4,3,2,-9,2,2,6,2,6,2,6,6,6,2,6,2,2,6,2,1,4,4,4,4,4,4,3,-9,4,2,4,4,-8,3,4,3,3,4,4,5,6,5,3,2,3,2,1,1,1,2,0,0,0,0,0,0,0,2,5,1,2,3,3,3,3,9,,1,1,,4,1,1,1,3,3,3,1,3,3,2,3,3,2,2,1,1,1,5,1,1,5,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,7,3,2,4,4,4,5,4,3,1,70,26,4,1955,,2,,,1,0,,,8,3,2,1,,7,,3,2,2,3,0.408197697071996,95,2025,9,234,234-95,10,17,14,4,1,1,1,2,2,2,2,2,1,1,95001
134,1,12,3,1,5,1,6,5,3,2,4,3,3,1,1,1,5,2,4,1,4,4,6,6,6,2,3,5,3,6,6,3,4,2,3,3,1,2,1,3,2,2,2,4,2,3,3,1,3,2,4,1,5,6,3,1,1,1,1,2,2,2,0,5,10,0,0,5,2,2,2,2,1,2,2,1,2,9,,1,1,,2,1,1,1,3,3,3,1,3,3,3,3,3,1,2,1,5,4,0,10,10,9,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,13,1,2,4,4,4,2,2,1,2,31,4,2,1994,,1,5,,1,0,,,8,6,2,2,9,1,,1,9,10,3,1.15075539855458,95,2025,9,235,235-95,14,16,3,2,2,1,1,1,2,2,1,8,1,19,95134
269,1,16,5,2,1,2,10,5,2,2,4,3,4,2,2,7,2,3,4,4,6,6,6,6,6,6,6,2,6,6,6,3,1,2,3,4,2,3,2,3,3,1,3,3,3,2,-8,2,2,1,3,-8,10,10,2,2,1,1,1,4,2,-8,5,5,5,5,5,5,5,3,4,3,2,3,3,3,3,15,15,1,1,,3,1,1,8,5,2,2,2,3,1,3,3,3,2,1,2,5,7,5,5,7,5,-8,-8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,6,3,2,4,4,4,1,-8,8,2,46,25,12,1978,,2,,,1,4,1,2,1,5,2,2,2,8,,3,1,6,4,1.63007786810989,95,2025,9,236,236-95,10,5,1,3,-8,-8,-8,-8,-8,-8,-8,4,1,25,95269
140,1,13,6,2,2,1,10,5,1,2,1,3,4,3,1,1,5,5,5,1,6,6,3,6,6,6,1,5,4,6,6,4,4,4,3,4,4,4,4,4,2,4,4,4,4,3,4,-8,1,4,4,10,10,10,3,2,1,1,1,2,3,1,5,10,10,0,-8,10,0,3,1,3,1,3,1,3,3,1,,1,1,,3,2,1,1,6,3,3,1,3,3,1,3,3,2,2,1,-8,-8,5,-8,10,10,-8,-8,3,6,6,6,6,6,6,3,9,6,6,3,6,6,1,13,2,4,4,4,4,2,4,8,2,84,1,1,1941,,2,,,9,,,,8,5,2,1,,7,,3,4,4,2,0.295448899107135,95,2025,9,237,237-95,5,2,6,4,4,2,2,2,1,2,2,6,1,20,95140
1,1,1,11,2,2,1,10,5,3,2,3,3,3,2,1,5,4,4,6,3,6,6,6,6,6,6,6,4,6,6,6,2,3,2,3,3,2,2,2,2,3,4,3,2,2,3,3,3,2,4,3,5,7,8,3,2,1,2,2,2,3,2,5,5,5,5,5,5,5,2,5,3,3,3,3,3,3,15,15,2,,1,3,2,8,8,9,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,6,6,5,5,5,6,6,6,5,6,5,5,6,5,2,1,2,3,2,2,2,2,3,1,1,19,31,1,2006,,2,,,1,0,,,8,5,1,2,9,4,,3,2,10,2,1.76698476813042,95,2025,9,238,238-95,5,10,16,3,5,1,1,-8,-8,-8,-8,7,1,1,95001
134,1,12,6,2,2,5,8,6,2,3,3,3,5,2,2,7,2,4,2,3,2,4,4,2,6,3,3,2,4,6,4,3,3,2,4,3,3,4,2,3,3,2,4,4,3,3,4,2,2,3,3,6,7,7,1,2,2,2,2,4,1,1,5,3,3,5,5,7,4,2,4,3,2,2,2,2,3,15,15,2,,1,3,1,1,8,10,3,3,3,3,3,3,3,3,2,2,2,1,2,2,10,9,6,5,6,5,6,6,5,6,5,7,4,5,6,6,5,6,8,6,3,3,4,3,4,4,2,4,6,1,73,9,5,1952,,2,,,1,2,1,1,7,7,2,1,,7,,3,7,7,3,0.246360294018309,95,2025,9,239,239-95,26,14,3,4,3,2,2,1,1,1,2,8,1,19,95134
140,1,13,3,1,2,1,8,1,1,3,3,1,3,2,2,5,1,6,6,2,6,6,6,6,6,6,6,3,6,6,6,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,10,10,10,2,3,3,1,2,2,2,1,5,5,5,1,5,5,5,4,5,2,2,3,3,3,3,15,15,1,3,,4,1,1,1,3,3,3,1,3,3,3,3,3,1,2,1,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,1,3,4,3,4,4,4,4,2,2,28,1,1,1997,,2,,,1,2,1,0,1,5,2,2,5,1,,1,3,8,2,0.777772161235411,95,2025,9,240,240-95,3,9,14,5,-8,2,2,2,2,2,2,3,5,20,95140
269,1,16,5,2,1,2,9,4,1,1,3,2,4,3,2,10,2,4,2,4,2,2,4,2,6,5,4,2,4,6,6,3,2,2,3,3,2,3,2,4,4,1,4,3,2,3,3,2,3,3,3,10,10,10,1,3,1,1,1,4,1,1,10,0,0,10,10,5,5,3,2,1,1,1,2,1,2,18,,1,2,,1,1,1,1,5,3,3,3,2,1,2,3,3,2,1,2,0,0,0,10,10,8,5,7,5,4,5,4,5,5,5,4,5,5,5,5,4,5,9,11,3,3,4,4,2,2,2,3,1,38,15,10,1986,,2,,,1,2,1,1,1,6,1,1,,1,,1,4,4,3,1.52786478683832,95,2025,9,241,241-95,26,3,9,3,5,2,2,2,1,1,1,4,1,25,95269
99,1,8,3,1,1,1,10,-9,3,1,3,3,3,3,2,1,2,2,6,2,6,6,6,6,6,2,6,4,2,3,4,1,4,3,3,2,4,3,3,3,3,4,3,3,-8,2,3,3,4,3,4,-9,1,-8,-9,3,-8,1,-8,-8,3,-8,5,10,10,10,0,0,10,3,5,3,3,3,3,3,3,-8,-8,2,,-9,3,4,1,8,3,-8,3,1,-8,-8,3,-8,-8,1,3,1,-8,-8,-8,-8,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,,-8,-8,4,4,4,-8,-8,8,2,89,1,1,1936,,2,,,1,0,,,7,5,2,1,,7,,3,-9,-9,4,0.384290811738295,95,2025,9,242,242-95,3,1,14,-8,,1,1,1,1,1,2,1,1,12,95099
102,1,8,11,5,5,5,6,5,2,2,2,3,4,2,2,6,2,3,2,6,6,6,4,6,6,6,6,3,3,6,6,2,2,2,4,3,4,3,3,3,4,2,3,3,3,2,3,2,2,3,4,6,6,5,2,2,2,2,2,3,2,1,5,4,5,5,5,5,5,2,3,1,2,2,3,3,3,13,,1,2,,3,2,1,1,6,3,3,3,2,2,2,3,3,2,2,2,2,2,2,7,7,7,4,4,5,5,5,5,6,4,5,5,5,5,1,5,5,6,13,2,2,3,4,4,3,4,4,2,2,64,10,6,1961,,2,,,1,0,,,5,4,2,1,,7,,3,1,1,4,0.254414033112183,95,2025,9,243,243-95,3,10,1,3,3,2,2,1,1,1,1,6,1,12,95102
140,1,13,4,3,3,3,2,4,2,1,2,2,4,2,2,10,2,3,2,5,2,4,4,4,6,4,4,2,4,6,6,4,1,1,3,3,1,3,3,2,3,1,4,3,3,3,3,1,3,1,3,10,10,1,2,2,2,2,1,3,2,2,3,0,0,10,10,10,10,3,1,1,1,1,2,2,3,20,,2,,2,2,1,1,1,4,3,3,3,1,3,3,3,3,3,3,3,0,4,0,10,10,8,5,5,4,4,4,4,4,4,4,4,4,9,4,4,4,4,1,3,3,4,4,4,4,1,4,1,1,57,1,1,1968,,2,,,1,0,,,8,2,2,1,,7,,3,2,3,2,1.33559683376954,95,2025,9,244,244-95,3,1,6,4,5,2,2,2,2,1,2,4,1,20,95140
1,1,1,11,1,5,5,6,8,4,2,3,3,2,1,1,5,3,3,3,2,6,6,3,3,6,2,6,3,6,6,6,2,-8,2,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,3,2,5,1,1,2,1,1,2,2,4,2,1,5,5,5,5,0,5,-8,2,5,2,1,3,3,3,3,14,,1,-8,,3,1,9,1,11,3,3,2,3,3,3,3,3,1,2,1,-8,-8,6,-8,-8,-8,-8,-8,-9,9,3,5,3,3,5,5,5,5,9,5,3,3,1,5,3,1,4,4,4,5,4,3,1,89,16,12,1938,,1,3,,1,4,1,2,7,6,2,1,,7,,3,4,4,2,0.816395394143991,95,2025,9,245,245-95,10,3,5,2,3,2,1,1,2,2,1,4,1,1,95001
24,1,4,5,2,1,2,8,6,3,2,4,3,4,2,2,7,3,4,1,4,1,2,3,1,3,4,3,2,2,3,3,3,3,3,4,4,3,3,2,3,3,2,4,4,2,3,4,2,3,3,4,10,6,6,2,2,1,1,1,3,2,2,5,0,1,8,8,7,5,2,3,3,1,2,2,2,3,27,,1,2,,2,1,1,1,5,3,3,3,2,1,2,3,3,2,1,2,0,0,0,9,8,6,5,3,6,5,5,4,6,4,5,6,4,5,6,5,4,6,6,5,3,1,4,4,4,3,4,1,2,61,1,1,1964,,2,,,1,2,1,2,7,5,2,1,,1,,1,8,9,3,0.552507214742689,95,2025,9,246,246-95,3,14,2,3,5,2,2,1,1,1,2,6,1,4,95024
12,1,2,10,4,4,4,8,7,4,3,4,3,2,1,1,1,4,2,4,1,2,4,2,2,6,2,2,4,2,6,6,3,4,3,3,1,3,3,2,1,2,1,3,3,1,2,3,2,1,2,4,3,10,1,3,1,1,1,2,3,1,1,5,10,10,1,2,4,3,1,2,1,1,1,3,1,1,9,,1,1,,1,1,1,1,3,3,3,1,3,3,3,3,3,1,2,1,1,4,0,9,10,10,5,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,3,2,2,4,2,1,1,56,21,3,1969,,1,10,,1,1,1,1,8,5,2,1,,1,,1,4,4,3,0.947962779283055,95,2025,9,247,247-95,2,4,5,2,1,1,1,2,2,2,2,7,1,2,95012
12,1,2,10,4,4,4,9,4,2,1,3,4,4,2,2,5,4,2,6,4,6,2,6,2,6,6,6,2,6,6,6,4,1,3,3,3,3,3,3,4,3,1,-8,3,3,3,-8,1,1,3,1,10,-8,10,3,3,-8,1,1,4,1,-8,4,-8,0,0,0,0,10,1,5,3,3,3,3,3,3,17,,1,1,,1,1,8,1,3,3,3,3,3,3,1,3,3,2,2,2,10,-8,-8,-8,0,-8,-8,-8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,1,3,2,4,4,4,3,5,3,2,65,24,2,1960,,2,,,1,2,1,1,1,5,2,2,2,7,,3,3,3,3,0.838799710967408,95,2025,9,248,248-95,1,3,10,3,5,1,1,2,-8,-8,1,1,1,2,95012
61,1,5,8,5,1,2,7,5,2,1,2,2,4,3,2,5,1,5,1,5,2,2,5,6,6,6,2,1,4,6,6,3,3,2,4,4,2,3,1,3,2,3,4,4,3,3,4,3,3,3,3,5,5,10,3,1,3,1,1,4,4,1,0,0,1,8,-8,8,3,1,3,2,2,3,2,2,3,15,15,1,2,,1,1,1,1,5,3,3,3,-8,1,2,3,3,2,1,2,1,3,0,-8,10,6,-8,-8,5,5,6,5,6,5,6,5,5,5,5,5,5,6,2,1,-8,4,4,4,4,1,3,2,2,68,21,11,1964,,2,,,1,2,1,1,1,5,2,1,,2,,1,3,3,3,1.87306517263015,95,2025,9,249,249-95,6,3,10,5,5,2,1,1,1,1,2,4,1,6,95061
6,1,1,5,5,1,2,4,5,3,1,3,2,5,2,2,5,1,2,3,4,6,6,6,6,6,6,6,3,6,6,6,4,2,1,3,1,4,4,4,4,2,2,4,4,3,4,3,1,3,3,3,9,10,10,2,2,1,1,1,1,2,1,5,5,5,8,5,5,4,3,3,3,2,2,2,3,3,14,,2,,2,3,4,1,1,5,3,3,2,2,1,3,3,3,1,1,2,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,4,3,2,3,4,4,3,3,1,2,30,30,8,1995,,2,,,1,3,1,2,1,5,2,2,3,1,,1,5,5,4,2.54698618146649,95,2025,9,250,250-95,3,13,6,3,,2,2,2,2,1,1,4,4,1,95006
6,1,1,5,2,1,2,10,5,2,2,4,3,4,2,2,5,2,3,1,4,3,4,6,4,6,4,3,2,4,6,6,2,3,2,4,3,2,3,2,3,3,2,3,4,3,3,3,2,3,3,4,10,8,9,2,2,1,1,2,4,1,1,5,2,5,5,5,5,5,2,4,2,3,3,2,2,3,14,,1,-9,,3,1,1,1,-9,3,3,3,3,3,3,3,3,3,-9,2,0,4,0,10,10,10,7,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,9,4,2,3,2,3,2,3,3,1,1,46,1,12,1978,,2,,,1,0,,,1,3,2,1,,1,,1,-9,-9,4,1.84486025082587,95,2025,9,251,251-95,3,14,2,4,-9,2,2,2,2,2,2,6,1,1,95006
44,1,5,8,2,1,2,5,4,2,2,3,3,5,2,2,5,1,3,2,3,3,6,3,6,6,3,4,2,4,6,6,4,4,2,4,3,3,3,3,4,3,2,3,3,3,3,4,2,3,3,3,5,10,10,2,2,1,1,1,3,2,1,5,2,2,5,5,6,9,1,1,1,1,1,2,2,3,15,15,1,2,,2,1,1,1,8,3,3,3,3,2,2,3,1,2,1,2,0,0,0,10,10,5,7,8,8,8,8,8,8,4,8,8,8,5,5,8,8,8,13,5,3,4,2,2,2,2,4,1,1,25,23,2,2000,,2,,,1,0,,,8,4,2,1,,1,,1,3,3,3,0.801886118721665,95,2025,9,252,252-95,3,14,17,3,4,2,2,1,1,2,1,3,1,6,95044
43,1,5,3,1,2,1,1,1,2,3,2,3,4,3,2,5,2,2,3,6,6,6,6,6,6,6,6,4,6,6,6,1,-8,1,4,2,2,2,1,4,4,2,4,4,2,4,4,2,1,4,4,10,10,5,2,2,2,1,-8,3,2,1,5,5,5,5,5,5,-8,3,5,3,3,3,3,3,3,1,,2,,4,4,2,8,1,6,3,2,2,3,3,2,-8,-8,1,2,1,-8,5,-8,-8,-8,5,-8,-8,-8,-8,-8,-8,9,-8,9,9,9,9,9,9,9,9,12,2,3,4,4,4,4,1,5,6,2,77,1,1,1948,,2,,,1,1,1,0,7,5,2,2,6,7,,3,1,3,4,0.741832390739047,95,2025,9,253,253-95,1,6,5,3,6,2,2,2,2,2,1,5,1,6,95043
242,1,13,11,5,5,5,1,8,3,3,2,3,3,1,2,5,-9,4,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,3,4,4,-8,3,2,-8,2,3,4,4,-8,3,3,3,2,4,3,10,10,5,3,1,-8,-8,-8,4,-8,1,-8,-8,-8,-8,-8,10,-8,2,5,3,3,3,3,2,3,15,15,2,,2,4,4,8,8,11,3,3,3,3,3,3,3,3,3,3,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,9,9,-8,-8,-8,-8,-8,-8,5,11,3,3,2,4,4,1,2,1,1,64,7,1,1964,,2,,,1,7,1,2,8,5,2,1,,3,,2,1,1,4,0.458553590685354,95,2025,9,254,254-95,10,3,1,3,,2,2,2,2,2,2,2,1,20,95242
53,1,5,3,1,2,1,7,5,3,2,4,3,3,1,1,4,4,3,5,2,3,4,3,6,6,1,3,4,3,3,6,3,3,3,4,3,3,3,2,3,3,4,3,4,3,3,2,2,2,4,4,7,6,6,3,1,1,1,1,3,2,1,5,5,5,3,1,5,4,2,3,2,1,2,1,1,2,15,25,1,1,,2,1,1,1,3,3,3,1,3,3,2,2,3,1,2,1,5,5,3,9,10,7,5,6,6,3,3,6,3,6,7,5,3,5,5,6,3,3,13,9,3,2,2,2,3,3,3,1,2,30,2,3,1995,,2,,,9,,,,8,7,2,2,9,1,,1,8,9,3,1.57302811682476,95,2025,9,255,255-95,3,9,11,3,2,1,1,1,2,2,1,8,1,6,95053
242,1,13,3,1,3,1,8,8,5,1,4,1,2,1,1,1,5,2,5,2,4,5,1,4,6,1,2,5,3,6,6,3,3,4,3,4,3,3,3,3,1,3,1,2,3,3,4,3,3,1,4,7,10,7,2,2,1,1,2,4,4,1,0,10,10,0,0,0,0,2,1,1,1,1,1,1,2,9,,1,1,,1,1,1,1,3,3,3,1,3,3,3,3,3,1,3,1,3,3,0,10,10,10,6,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,3,1,4,4,4,2,2,2,2,52,10,4,1973,,2,,,1,2,1,0,8,5,2,1,,1,,1,4,5,3,0.799409562265764,95,2025,9,256,256-95,2,5,8,1,1,1,1,2,2,2,2,5,1,20,95242
242,1,13,10,1,4,1,10,1,2,1,2,2,4,3,2,-8,3,3,6,6,6,6,6,6,6,6,6,4,6,6,6,4,1,4,4,3,4,3,3,-8,4,2,3,4,4,2,4,2,-8,2,-8,10,1,10,1,-8,-8,2,2,3,3,2,5,5,5,0,-8,0,0,2,5,2,3,3,3,3,3,15,15,1,3,,3,1,8,8,3,3,3,1,3,3,3,3,3,1,3,1,-8,-8,-8,-8,-8,1,-8,1,3,3,3,3,3,3,-8,3,-8,3,-8,-8,-8,3,-8,,3,2,4,4,4,-8,-8,8,2,57,1,1,1968,,2,,,1,4,1,1,8,1,2,1,,6,,3,2,3,4,0.756322479711843,95,2025,9,257,257-95,1,7,6,5,-8,2,2,1,1,2,-8,1,1,20,95242
