ump,zona_u_r,region_3,elec_pres_urna_30,elec_pres_urna_31,elec_pres_urna_32,elec_pres_urna_33,bienestar_2,bienestar_3,percepcion_2,percepcion_3,percepcion_5,percepcion_6,percepcion_38,percepcion_4,eval_gob_1,iden_pol_2,eval_act_pol_1_fh,eval_act_pol_1_ae,eval_act_pol_1_el,eval_act_pol_1_dv,eval_act_pol_1_em,eval_act_pol_1_hb,eval_act_pol_1_ft,eval_act_pol_1_gq,eval_act_pol_1_gw,eval_act_pol_1_hd,eval_act_pol_1_x,eval_act_pol_1_gt,eval_act_pol_1_fa,eval_act_pol_1_hc,eval_act_pol_1_gx,confianza_6_a,confianza_6_b,confianza_6_c,confianza_6_j,confianza_6_d,confianza_6_e,confianza_6_f,confianza_6_n,confianza_6_x,confianza_6_g,confianza_6_h,confianza_6_i,confianza_6_k,confianza_6_s,confianza_6_o,confianza_6_p,confianza_6_r,confianza_6_m,confianza_6_ab,confianza_6_ac,democracia_38,pobreza_63,pobreza_62,religion_14,religion_64,democracia_21,democracia_37_a,democracia_37_b,democracia_37_c,democracia_37_d,pp_congreso_61_b,polarizacion_1_a,polarizacion_1_b,polarizacion_6_a,polarizacion_6_b,polarizacion_6_c,polarizacion_6_d,polarizacion_6_e,confianza_17,interes_pol_1_b,interes_pol_2_a,interes_pol_2_b,interes_pol_2_c,interes_pol_2_d,interes_pol_2_e,interes_pol_2_f,iden_pol_3,iden_pol_3_a,elec_part_37,elec_pres_144_a,elec_pres_144_b2,elec_pres_125,elec_part_4,elec_pres_1_responde,elec_pres_2_responde,elec_pres_148,elec_pres_149_a,elec_pres_149_b,elec_pres_149_c,elec_pres_149_d,elec_pres_149_e,elec_pres_149_f,elec_pres_149_g,elec_pres_149_h,elec_pres_150_a,elec_pres_150_b,elec_pres_150_c,elec_pres_151_a,elec_pres_151_b,elec_pres_151_c,elec_pres_151_d,elec_pres_151_e,elec_pres_151_f,elec_pres_151_g,elec_pres_151_h,elec_pres_152_a,elec_pres_152_b,elec_pres_152_c,elec_pres_152_d,elec_pres_152_e,elec_pres_152_f,elec_pres_153_a,elec_pres_153_b,elec_pres_153_c,elec_pres_153_d,elec_pres_153_e,elec_pres_153_f,elec_pres_153_g,elec_pres_153_h,elec_pres_145_a,elec_pres_145_b,democracia_12,anomia_4_a,bienestar_19_c,bienestar_19_d,bienestar_19_e,rol_gobierno_16,ciudadania_16,ciudadania_34,sexo,edad,nac_dia,nac_mes,nac_ano,info_enc_59_2_otro,info_enc_58,info_enc_30_b,info_enc_30_b_otro,mtf_60_aux,mtf_60,info_enc_50_a_aux,info_enc_50_a,estado_civil_g,educacion_104_a,info_enc_61,info_enc_57,info_hogar_28_c,info_enc_12_c,info_enc_12_c_otro,info_enc_35,info_enc_20_c,info_hogar_3_c,gse,pond,encuesta,encuesta_a,encuesta_m,id_bu_encuesta,id_bu,percepcion_1_a,percepcion_1_b,percepcion_1_c,democracia_20,elec_pres_147,elec_parla_36_a,elec_parla_36_b,elec_parla_36_c,elec_parla_36_d,elec_parla_36_e,elec_parla_36_f,esc_nivel_1_c,info_enc_59_2,estrato,secu
188,1,13,3,1,2,1,8,7,4,2,4,3,2,1,1,2,5,2,5,1,3,5,3,6,6,1,2,4,3,6,6,4,4,4,3,3,4,4,3,3,3,4,2,3,4,2,3,4,3,2,4,4,6,4,3,1,1,1,2,4,2,1,0,5,7,0,0,3,3,2,3,2,2,1,1,2,2,25,,1,1,,2,1,1,1,3,2,3,1,3,3,2,2,3,1,2,1,2,7,1,10,10,8,5,8,3,1,3,5,3,6,1,3,3,3,1,3,3,1,13,8,3,2,4,4,4,3,4,1,2,28,16,11,1996,,1,5,,1,0,,,8,4,1,2,7,4,,2,1,3,3,1.44934850814829,95,2025,9,11,11-95,2,16,11,3,1,1,1,1,2,2,1,7,1,20,95188
188,1,13,3,1,5,1,6,5,4,1,3,3,4,1,1,1,4,2,4,1,3,4,3,6,6,2,1,5,3,5,6,4,3,4,3,2,3,4,3,4,3,4,3,3,3,2,3,3,2,3,3,7,2,3,3,1,1,1,1,4,2,1,5,5,5,0,5,1,4,1,3,2,2,1,2,1,3,3,,1,1,,2,1,1,1,3,3,3,1,3,3,3,2,3,1,2,1,0,5,3,7,10,10,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,1,3,2,4,4,3,3,4,4,1,36,12,8,1989,,2,,,1,0,,,8,5,2,1,,1,,1,7,8,3,2.03339443025634,95,2025,9,12,12-95,13,6,1,3,2,1,1,1,2,2,1,8,1,20,95188
152,1,13,3,1,5,1,6,4,2,2,3,2,3,2,1,5,4,1,2,2,4,6,6,6,2,2,1,3,3,6,3,4,4,2,4,4,3,4,1,3,2,3,4,4,2,3,3,3,2,3,3,6,5,7,2,2,2,2,2,2,3,1,0,0,5,0,3,0,0,3,3,3,2,3,1,1,1,20,,1,1,,4,1,1,1,3,2,3,1,2,3,3,3,3,1,2,1,2,6,0,7,10,8,5,5,8,3,8,5,3,3,3,3,8,9,9,5,3,3,2,9,3,5,2,3,3,4,4,1,1,28,21,8,1997,,2,,,1,0,,,8,5,2,2,5,1,,1,5,6,3,1.6706586913694,95,2025,9,13,13-95,17,13,11,4,6,2,2,2,2,2,1,8,1,20,95152
152,1,13,9,3,3,3,1,10,3,2,3,2,5,1,2,2,3,-8,6,-8,6,6,6,6,6,6,6,-8,6,6,6,-9,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0,1,6,1,2,2,2,1,4,1,1,7,5,-8,-8,-8,-8,-8,4,5,3,3,3,3,3,3,15,15,2,,1,4,3,1,8,1,3,3,2,3,3,2,3,3,1,-8,-9,8,5,1,7,0,5,0,4,8,5,8,6,5,2,7,1,8,7,3,6,4,1,11,13,3,5,4,4,4,3,-9,5,1,37,30,10,1986,,2,,,1,3,1,1,8,2,2,2,5,3,,2,1,3,4,1.37103709293273,95,2025,9,14,14-95,26,12,1,5,,1,1,1,1,1,1,1,5,20,95152
153,1,13,6,2,2,3,10,5,2,2,3,4,5,2,2,6,2,3,2,2,3,3,6,6,2,2,2,2,2,6,6,2,4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,3,3,4,4,8,7,7,2,1,1,1,1,4,1,2,5,3,2,1,0,6,5,2,2,2,1,2,2,2,3,10,,1,1,,2,1,1,1,6,3,3,3,3,3,1,3,3,2,2,2,3,5,3,10,10,7,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,5,4,4,4,5,5,3,1,40,7,4,1985,,2,,,1,2,1,2,1,5,2,1,,1,,1,6,6,3,1.57009959981186,95,2025,9,15,15-95,10,3,6,1,5,2,2,2,1,1,2,7,1,20,95153
142,1,13,4,2,2,2,7,1,2,1,4,3,4,3,2,10,1,3,2,4,2,2,4,6,6,4,2,2,2,6,6,1,4,3,4,4,4,4,4,4,3,3,4,4,3,3,3,2,3,4,4,10,1,10,1,3,2,2,2,2,2,2,5,0,5,5,5,5,5,3,3,2,2,2,2,2,2,10,,1,2,,2,1,1,1,6,3,3,3,1,2,3,3,3,2,2,2,0,0,0,10,10,10,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,4,3,4,4,4,4,2,5,1,1,68,1,1,1957,,2,,,1,0,,,8,3,2,1,,2,,1,3,3,2,0.38442281850328,95,2025,9,16,16-95,14,2,10,4,5,2,2,2,1,1,1,4,1,20,95142
192,1,13,7,2,1,2,1,8,2,2,3,3,5,2,2,5,2,3,2,3,6,2,4,6,6,6,4,2,6,6,6,3,1,1,4,2,-8,3,-8,4,4,1,4,3,2,3,3,1,2,3,3,5,10,10,1,3,1,1,1,4,4,1,5,5,3,5,3,5,6,3,5,3,1,1,1,3,3,15,15,1,2,,3,1,1,1,7,3,3,3,3,2,3,1,1,2,1,2,0,2,1,10,10,7,5,5,5,7,7,5,7,5,6,5,7,7,5,6,6,7,1,2,3,4,1,4,4,3,4,1,1,56,25,1,1969,,2,,,9,,,,1,1,2,1,,1,,1,2,2,3,1.1566554342375,95,2025,9,17,17-95,26,14,9,4,6,2,1,1,1,2,1,3,1,20,95192
80,1,7,5,5,1,2,1,1,2,1,1,3,5,2,2,-8,1,2,1,5,6,6,6,6,6,6,2,2,6,6,6,4,1,1,4,3,4,4,4,4,-8,4,4,-8,4,4,4,4,-8,4,4,10,10,5,1,3,-8,1,1,1,1,1,-8,-8,5,10,-8,5,5,4,5,3,3,3,3,3,3,1,,1,2,,4,1,1,1,5,3,3,3,3,1,3,3,3,3,1,2,-8,-8,-8,-8,5,-8,-8,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,1,13,3,5,4,4,4,1,4,1,1,40,14,5,1984,,2,,,1,3,1,2,2,3,2,1,,10,,1,5,5,4,0.707968714260586,95,2025,9,18,18-95,9,13,3,5,-8,-8,-8,-8,-8,-8,-8,2,1,10,95080
45,1,5,5,1,1,2,8,6,4,3,3,3,3,2,2,5,2,3,3,3,6,6,6,3,3,3,6,3,3,3,6,3,3,2,3,3,4,3,2,4,4,2,3,2,3,2,3,1,1,2,3,6,6,8,3,2,1,2,2,3,2,1,5,5,5,5,5,5,5,3,4,3,3,2,2,3,3,15,15,1,1,,3,1,8,1,10,2,2,2,2,2,2,2,2,3,3,3,-8,-8,4,6,7,-8,-8,-8,6,1,5,4,5,4,6,4,4,5,5,5,4,1,9,7,2,2,4,4,4,4,3,3,1,30,1,1,1995,,2,,,1,0,,,8,4,2,1,,1,,1,3,3,3,0.849561637338382,95,2025,9,19,19-95,26,7,14,3,6,1,1,1,1,1,1,4,1,6,95045
142,1,13,4,3,3,3,7,5,2,2,3,2,5,2,2,7,2,3,2,4,4,4,4,2,6,4,3,2,4,2,6,2,2,2,4,3,3,3,2,3,3,2,3,3,2,3,3,2,2,2,3,8,7,7,2,2,2,2,2,3,3,2,7,2,2,5,7,4,4,2,2,2,2,2,2,2,3,27,,2,,2,1,1,1,1,4,3,3,3,1,1,3,3,3,3,1,2,0,2,0,10,9,6,3,4,4,4,4,4,5,4,4,4,4,4,9,4,4,4,2,4,3,4,4,4,4,1,4,4,1,63,1,1,1962,,2,,,1,0,,,2,5,2,1,,3,,2,3,5,2,0.835751324015945,95,2025,9,20,20-95,3,6,5,3,5,2,2,2,2,1,2,6,1,20,95142
